date,cash,assets,cash_ratio_assets,cash_ratio_assets_pp,ratio_yoy_pp,ratio_monthly_pp_approx
2005-03-31,46709000000.0,,,,,
2005-06-30,47762000000.0,,,,,
2005-09-30,46032000000.0,,,,,
2005-12-31,44660000000.0,,,,,
2006-03-31,42858000000.0,,,,,
2006-06-30,42069000000.0,,,,,
2006-09-30,42249000000.0,,,,,
2006-12-31,43743000000.0,,,,,
2007-03-31,46027000000.0,,,,,
2007-06-30,46950000000.0,,,,,
2007-09-30,47083000000.0,,,,,
2007-12-31,44329000000.0,,,,,
2008-03-31,35566000000.0,,,,,
2008-06-30,31159000000.0,,,,,
2008-09-30,33369000000.0,,,,,
2008-12-31,25539000000.0,267399000000.0,0.09550895852265716,9.550895852265716,,
2009-03-31,25551000000.0,,,,,
2009-06-30,24511000000.0,,,,,
2009-09-30,26919000000.0,292010000000.0,0.09218519913701585,9.218519913701586,,
2009-12-31,66287000000.0,297119000000.0,0.22309916228851068,22.30991622885107,12.759020376585353,1.0632516980487794
2010-03-31,25670000000.0,356320000000.0,0.07204198473282443,7.204198473282443,,
2010-06-30,27953000000.0,349187000000.0,0.08005166286259224,8.005166286259225,,
2010-09-30,34461000000.0,363979000000.0,0.09467853914648922,9.467853914648922,0.2493340009473357,0.020777833412277975
2010-12-31,38227000000.0,372229000000.0,0.10269753297029517,10.269753297029517,-12.040162931821552,-1.0033469109851294
2011-03-31,41178000000.0,376496000000.0,0.10937167991160597,10.937167991160598,3.7329695178781543,0.3110807931565129
2011-06-30,47891000000.0,382696000000.0,0.12514110416623117,12.514110416623117,4.508944130363892,0.37574534419699096
2011-09-30,34776000000.0,385494000000.0,0.09021152080188019,9.021152080188019,-0.44670183446090306,-0.03722515287174192
2011-12-31,68521000000.0,392647000000.0,0.1745104381289046,17.45104381289046,7.181290515860944,0.5984408763217454
2012-03-31,37826000000.0,411362000000.0,0.09195307296250019,9.195307296250018,-1.7418606949105797,-0.14515505790921499
2012-06-30,40661000000.0,411356000000.0,0.09884625482550394,9.884625482550394,-2.629484934072723,-0.21912374450606023
2012-09-30,47776000000.0,424115000000.0,0.11264869198212749,11.264869198212748,2.2437171180247297,0.1869764265020608
2012-12-31,83700000000.0,427452000000.0,0.19581145953229837,19.581145953229836,2.1301021403393747,0.17750851169494788
2013-03-31,79690000000.0,442302000000.0,0.1801710143747937,18.01710143747937,8.82179414122935,0.7351495117691126
2013-06-30,64451000000.0,446563000000.0,0.14432678031991006,14.432678031991006,4.548052549440612,0.379004379120051
2013-09-30,70951000000.0,458081000000.0,0.15488745440216906,15.488745440216906,4.223876242004158,0.3519896868336798
2013-12-31,76971000000.0,484931000000.0,0.1587256743742924,15.872567437429241,-3.7085785158005944,-0.30904820965004953
2014-03-31,78049000000.0,494944000000.0,0.15769258744423612,15.769258744423611,-2.247842693055757,-0.1873202244213131
2014-06-30,84630000000.0,504379000000.0,0.16779049088086537,16.779049088086538,2.3463710560955313,0.19553092134129427
