strategy,window,assets_used,avg_holding_count,total_return_pct,cagr_pct,mdd_pct,sharpe,stop_hits,benchmark_total_return_pct,benchmark_cagr_pct,benchmark_mdd_pct,benchmark_sharpe
QQQ_PIT_top5_gate_QQQ_gt_MA200_no_stop,2016-01-04~2026-03-17,275,3.38,850.16,37.77,-42.71,0.999,,491.79,28.79,-35.12,1.08
QQQ_PIT_top5_gate_QQQ_gt_MA200_stop12_clear,2016-01-04~2026-03-17,275,3.02,354.99,24.06,-48.82,0.814,87.0,491.79,28.79,-35.12,1.08
