strategy,window,assets_used,avg_holding_count,total_return_pct,cagr_pct,mdd_pct,sharpe,stop_hits,benchmark_total_return_pct,benchmark_cagr_pct,benchmark_mdd_pct,benchmark_sharpe
QQQ_PIT_top5_no_stop,2016-01-04~2026-03-17,275,3.59,1333.05,46.06,-48.98,1.138,,491.79,28.79,-35.12,1.08
QQQ_PIT_top5_stop12_clear,2016-01-04~2026-03-17,275,3.14,368.01,24.56,-49.46,0.826,100.0,491.79,28.79,-35.12,1.08
